date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-07-29,Eden Ivy,119,119,0,344,211,0,6,0,6,37.34696249765744,7
2025-07-29,JULIALEXXX,120,120,0,30,210,2,2,0,4,37.042174419459755,5
2025-07-29,Charlie Red,121,121,0,575,354,2,2,1,5,36.49736150417391,5
2025-07-29,Kendra Lust,122,122,0,275,97,2,1,2,4,35.93859107050934,5
2025-07-29,Veronica Weston,123,123,0,313,356,3,0,0,3,35.2017301748085,3
2025-07-29,Ivey Passion,124,124,0,156,110,2,1,1,4,34.62805333687584,4
2025-07-29,Milan Cheek,125,125,0,317,134,2,1,0,2,33.44195012655766,3
2025-07-29,Emma Ruby,126,126,0,4,116,2,1,0,0,33.38599254650134,1
2025-07-29,Spencer Bradley,127,127,0,327,211,2,1,1,4,33.329672017592344,4
2025-07-29,Blake Blossom,128,128,0,243,176,2,1,0,3,32.75444078596218,3
2025-07-29,Nickey Huntsman,129,129,0,542,290,0,5,0,5,31.39674223752037,5
2025-07-29,Roxy Muray,130,130,0,373,8,2,0,0,1,30.33564169594375,2
2025-07-29,Valentina Nappi,131,131,0,931,124,1,2,1,3,30.212214177778517,6
2025-07-29,Alina Lopez,132,132,0,267,355,1,3,0,4,30.169521429401705,4
